process_data_ms,total_processing_ms,full_loop_ms,total time,accuracy
9.116,6.822,3.637,21.603,0.000
7.326,5.778,3.934,25.715,0.000
5.792,5.887,2.868,21.845,0.000
16.513,7.151,5.345,19.045,0.000
6.053,7.261,3.127,36.321,0.000
7.010,4.176,2.473,22.836,0.000
7.591,4.852,2.809,18.643,0.000
6.526,5.180,2.931,23.250,0.000
5.943,4.509,2.738,19.263,0.000
6.484,6.271,3.194,17.798,0.000
9.759,5.647,3.062,23.764,0.000
6.269,5.340,4.536,27.135,0.000
5.743,5.343,2.790,22.925,0.000
5.850,4.299,2.394,18.798,0.000
6.412,4.230,2.662,18.346,0.000
6.841,4.685,3.182,21.231,0.000
5.844,4.594,3.104,20.247,0.000
20.299,4.837,2.690,18.075,0.000
6.017,7.571,7.033,36.052,0.000
6.914,5.630,3.825,38.071,0.000
5.877,4.497,2.664,21.614,0.000
5.856,5.051,3.005,17.546,0.000
5.912,4.332,2.623,19.213,0.000
23.311,4.980,2.792,17.796,0.000
5.893,4.426,2.634,37.701,0.000
6.098,6.701,2.837,32.686,0.000
5.912,5.012,3.304,26.362,0.000
6.179,4.247,2.598,18.957,0.000
8.225,4.311,2.687,18.751,0.000
8.293,4.455,2.400,20.450,0.000
8.698,4.291,2.714,20.582,0.000
6.003,5.575,3.736,20.833,0.000
5.865,4.724,2.819,19.974,0.000
6.203,4.716,2.985,17.937,0.000
6.456,4.284,2.595,32.214,0.000
9.508,8.044,3.617,19.074,0.000
8.424,5.692,2.614,26.447,0.000
6.053,4.387,2.665,25.668,0.000
5.980,4.360,2.695,17.788,0.000
8.819,5.779,4.852,19.490,0.000
13.745,4.443,2.652,25.123,0.000
7.847,7.861,3.263,26.264,0.000
6.811,4.921,2.792,26.200,0.000
5.810,4.316,2.570,19.373,0.000
5.889,5.025,2.671,17.444,0.000
21.694,4.973,2.827,19.677,0.000
6.010,6.747,2.871,36.160,0.000
5.913,4.739,3.152,20.818,0.000
5.803,4.377,2.700,18.925,0.000
6.553,4.281,2.687,18.361,0.000
5.870,5.405,3.626,19.405,0.000
5.996,5.360,3.496,19.667,0.000
6.069,4.684,2.702,20.218,0.000
5.782,4.768,2.452,18.152,0.000
5.781,4.326,2.531,17.718,0.000
6.560,4.237,2.523,18.194,0.000
5.995,5.028,3.381,19.259,0.000
7.902,4.470,2.376,18.902,0.000
6.405,6.482,2.359,32.866,0.000
8.340,6.023,3.473,25.258,0.000
5.989,4.891,3.954,22.872,0.000
6.125,5.586,3.589,23.208,0.000
6.538,4.763,2.179,20.926,0.000
19.870,5.637,3.065,18.585,0.000
5.956,4.504,2.292,33.809,0.000
5.904,4.236,2.191,19.447,0.000
6.109,5.167,2.708,18.653,0.000
5.822,4.976,2.893,18.851,0.000
6.261,9.593,2.770,18.632,0.000
8.704,8.700,2.384,25.672,0.000
9.560,6.819,4.128,28.532,0.000
14.073,6.313,3.333,32.258,0.000
6.348,4.970,3.299,29.274,0.000
7.006,4.201,2.372,19.470,0.000
7.067,4.174,2.674,19.510,0.000
7.775,5.978,2.460,20.342,0.000
6.402,5.585,2.410,21.330,0.000
6.263,4.449,2.987,19.572,0.000
8.266,4.216,2.144,19.750,0.000
