process_data_ms,total_processing_ms,full_loop_ms,full_time,accuracy
11.104,5.764,3.372,53.53,0
15,6.102,4.079,36.488,0
14.738,5.78,5.419,40.068,0
11.494,7.704,5.819,37.235,0
8.56,6.667,4.613,39.445,0
12.026,6.848,6.135,35.224,0
17.108,8.4,4.458,40.016,0
13.398,6.745,8.898,42.125,0
20.427,5.216,3.589,45.099,0
17.174,5.93,4.058,46.695,0
18.25,4.956,5.774,45.994,0
16.432,6.083,5.063,41.855,0
16.347,4.897,5.42,38.741,0
10.276,6.513,6.605,41.41,0
18.403,7.287,5.492,37.434,0
11.301,6.209,3.468,46.779,0
17.906,6.189,8.103,33.998,0
18.492,5.491,8.375,40.269,0
10.657,6.767,8.09,46.178,0
23.88,10.64,7.93,44.323,0
13.377,6.838,4.465,54.013,0
17.022,6.726,6.37,43.036,0
22.083,5.888,9.105,41.695,0
17.611,5.774,5.041,49.922,0
17.874,4.629,4.559,42.23,0
17.72,5.423,4.244,39.718,0
12.062,7.657,6.972,42.476,0
16.246,5.919,7.561,40.516,0
11.958,8.271,4.135,43.404,0
8.782,5.185,3.037,36.856,0
18.299,6.137,4.572,33.727,0
18.841,5.67,6.565,40.115,0
12.399,7.188,8.619,43.889,0
12.712,5.33,3.748,49.442,0
19.54,5.324,4.054,49.715,0
14.732,5.021,3.25,48.259,0
11.866,6.418,5.605,47.309,0
15.89,5.864,6.105,42.218,0
18.347,8.965,4.03,38.315,0
11.799,5.94,3.555,59.691,0
15.83,9.158,4.976,36.696,0
17.231,5.645,3.691,41.189,0
14.256,5.805,3.137,39.743,0
15.943,5.042,3.172,36.263,0
13.025,7.553,4.778,36.79,0
13.744,5.717,8.433,36.424,0
11.481,5.873,2.216,39.447,0
17.302,5.605,3.407,35.002,0
16.777,4.866,2.772,37.156,0
20.149,5.754,2.603,34.173,0
14.679,5.463,2.638,41.052,0
16.554,4.722,2.621,37.837,0
16.626,4.441,4.141,38.792,0
12.724,7.991,3.468,42.531,0
12.77,5.958,3.709,39.663,0
13.567,4.796,3.665,33.569,0
10.75,5.888,3.132,32.9,0
10.193,5.557,2.66,35.259,0
9.251,5.534,3.463,27.819,0
12.272,5.718,3.644,27.355,0
15.636,4.676,3.299,36.215,0
19.869,5.531,3.646,34.679,0
23.893,7.798,3.51,43.812,0
16.94,5.845,4.828,49.507,0
12.671,9.617,3.626,39.287,0
22.768,4.642,3.46,39.083,0
18.391,6.075,3.875,41.048,0
14.426,5.418,4.145,38.845,0
13.816,5.005,3.874,34.384,0
14.261,6.988,4.717,30.508,0
11.009,7.003,3.883,34.945,0
9.189,5.514,2.64,35.734,0
10.761,10.919,2.234,27.476,0
12.667,5.291,2.628,39.269,0
14.772,4.591,2.665,41.806,0
9.777,8.917,2.765,37.798,0
21.98,4.782,2.588,32.505,0
