process_data,angle_calc,draw,full_loop,arduino_signal
12.038,6.626,27.273,45.937,0.000
9.751,8.367,27.201,45.319,0.000
8.018,6.516,27.216,41.750,0.000
7.879,6.035,27.691,41.604,0.000
12.016,5.399,27.322,44.738,0.000
11.220,7.013,27.151,45.385,0.000
10.645,9.684,31.631,51.960,0.000
11.069,6.292,27.083,44.444,0.000
7.848,6.145,26.857,40.850,0.000
11.498,5.592,27.114,44.204,0.000
9.919,7.280,27.377,44.575,0.000
9.827,6.115,28.234,44.177,0.000
7.723,5.595,26.908,40.226,0.000
11.379,5.333,27.352,44.064,0.000
11.905,6.523,27.434,45.863,0.000
9.345,6.718,26.762,42.825,0.000
9.623,5.955,27.094,42.672,0.000
10.396,5.091,27.066,42.554,0.000
12.085,6.000,27.102,45.187,0.000
9.167,7.063,27.339,43.569,0.000
8.668,6.328,27.175,42.171,0.000
7.804,6.022,27.100,40.926,0.000
11.093,5.703,27.987,44.783,0.000
13.702,5.922,27.514,47.138,0.000
12.711,7.084,27.254,47.049,0.000
9.830,6.440,28.744,45.014,0.000
11.626,5.786,27.576,44.988,0.000
10.461,5.898,27.067,43.426,0.000
12.207,5.311,27.241,44.760,0.000
11.972,6.375,27.059,45.405,0.000
9.023,5.985,28.300,43.308,0.000
9.393,6.185,26.910,42.488,0.000
8.078,5.906,27.098,41.081,0.000
13.295,5.583,28.335,47.213,0.000
11.828,5.929,27.126,44.883,0.000
8.564,6.518,27.512,42.594,0.000
9.165,6.007,27.346,42.519,0.000
13.228,5.543,26.932,45.702,0.000
13.015,5.795,27.345,46.156,0.000
9.242,6.416,28.000,43.659,0.000
10.751,6.014,28.236,45.001,0.000
9.150,5.576,27.360,42.085,0.000
9.661,5.874,27.298,42.834,0.000
11.744,5.454,27.172,44.370,0.000
8.982,6.723,27.855,43.560,0.000
11.396,7.891,29.957,49.243,0.000
8.386,5.680,27.049,41.115,0.000
12.458,5.872,27.109,45.439,0.000
9.302,8.211,27.081,44.594,0.000
9.985,5.649,27.434,43.068,0.000
8.566,5.887,27.023,41.475,0.000
9.287,5.719,27.256,42.263,0.000
11.595,5.661,27.175,44.432,0.000
9.113,7.368,14.388,30.869,0.000
4.502,3.413,13.507,21.422,0.000
4.745,3.512,13.507,21.764,0.000
4.426,3.339,13.516,21.281,0.000
4.552,3.192,24.279,32.022,0.000
8.563,6.984,26.980,42.527,0.000
8.497,6.145,26.710,41.353,0.000
8.268,5.620,27.486,41.373,0.000
11.944,5.317,28.909,46.169,0.000
10.897,7.018,29.883,47.797,0.000
8.921,8.248,26.660,43.829,0.000
8.418,6.611,29.427,44.456,0.000
10.733,6.090,27.074,43.896,0.000
8.888,6.678,26.863,42.428,0.000
7.773,6.626,27.408,41.807,0.000
7.845,5.291,27.331,40.468,0.000
9.726,5.900,27.238,42.864,0.000
9.356,7.379,27.715,44.450,0.000
8.423,5.821,26.661,40.905,0.000
12.400,5.954,27.351,45.705,0.000
10.363,5.134,27.794,43.290,0.000
9.246,5.931,32.292,47.469,0.000
8.161,6.667,28.443,43.271,0.000
7.978,5.573,30.645,44.196,0.000
10.436,5.306,28.170,43.912,0.000
11.421,5.652,27.136,44.209,0.000
9.539,6.883,26.665,43.087,0.000
8.637,5.614,27.000,41.251,0.000
13.590,5.152,26.972,45.714,0.000
12.134,5.964,26.774,44.872,0.000
10.330,5.871,27.263,43.463,0.000
8.815,6.071,27.007,41.893,0.000
11.281,5.037,27.466,43.784,0.000
11.855,5.562,27.109,44.525,0.000
10.516,7.494,27.010,45.021,0.000
9.629,5.529,26.836,41.994,0.000
10.066,5.632,26.962,42.660,0.000
8.957,6.520,27.195,42.672,0.000
8.455,5.250,26.882,40.586,0.000
9.189,5.511,27.673,42.373,0.000
9.069,6.247,26.878,42.194,0.000
8.922,5.574,27.278,41.774,0.000
15.066,5.224,27.811,48.101,0.000
11.172,6.266,30.408,47.845,0.000
11.590,5.495,27.004,44.089,0.000
8.634,7.013,27.403,43.050,0.000
9.902,5.111,26.766,41.778,0.000
10.877,5.327,31.798,48.002,0.000
12.378,4.849,29.454,46.681,0.000
10.387,5.839,28.235,44.462,0.000
8.487,6.539,26.471,41.497,0.000
8.941,5.377,26.433,40.751,0.000
12.262,5.325,27.064,44.651,0.000
11.571,6.347,27.789,45.708,0.000
11.081,5.202,26.164,42.447,0.000
8.965,4.945,26.481,40.391,0.000
12.596,5.276,26.550,44.421,0.000
9.141,5.977,26.613,41.732,0.000
10.577,5.382,26.361,42.320,0.000
12.302,4.804,26.344,43.450,0.000
9.002,5.414,26.330,40.746,0.000
7.575,5.264,26.358,39.197,0.000
11.835,4.755,28.249,44.839,0.000
7.631,5.548,26.869,40.047,0.000
8.615,6.184,26.759,41.558,0.000
10.548,5.635,28.053,44.237,0.000
13.087,5.109,27.107,45.303,0.000
14.483,5.120,26.482,46.086,0.000
10.118,5.688,27.111,42.917,0.000
8.100,4.881,26.813,39.793,0.000
11.835,4.838,26.423,43.097,0.000
10.021,6.717,25.176,41.914,0.000
4.265,3.041,13.466,20.773,0.000
4.142,3.123,13.126,20.390,0.000
4.379,2.893,13.085,20.358,0.000
4.145,3.339,16.387,23.871,0.000
8.279,5.518,26.217,40.014,0.000
12.120,5.543,26.606,44.269,0.000
9.738,6.579,26.757,43.074,0.000
8.524,5.956,26.568,41.048,0.000
9.855,5.077,26.960,41.892,0.000
11.436,5.399,26.598,43.432,0.000
8.518,6.152,26.770,41.440,0.000
10.903,5.413,27.092,43.409,0.000
8.387,8.090,28.311,44.788,0.000
9.955,5.462,26.675,42.092,0.000
8.767,5.231,27.068,41.067,0.000
10.487,5.965,27.133,43.585,0.000
8.955,6.001,26.833,41.789,0.000
12.149,6.160,26.802,45.111,0.000
8.276,5.177,26.968,40.421,0.000
10.673,5.681,31.191,47.544,0.000
13.050,6.495,28.306,47.851,0.000
8.765,5.703,26.879,41.348,0.000
10.391,5.705,27.583,43.679,0.000
10.206,5.531,27.268,43.005,0.000
9.331,7.447,28.235,45.014,0.000
11.139,5.044,27.182,43.366,0.000
9.361,5.429,27.220,42.011,0.000
12.253,5.568,27.356,45.177,0.000
8.854,5.410,26.663,40.927,0.000
23.108,6.280,27.262,56.650,0.000
12.459,5.474,27.135,45.069,0.000
9.893,6.484,27.036,43.412,0.000
9.458,5.755,30.103,45.316,0.000
9.443,6.046,27.215,42.704,0.000
9.053,5.047,27.174,41.274,0.000
9.948,6.536,28.850,45.334,0.000
9.018,5.101,26.939,41.058,0.000
9.515,5.324,30.811,45.650,0.000
37.569,16.191,28.646,82.407,0.000
9.400,5.913,26.718,42.031,0.000
11.568,5.140,27.286,43.994,0.000
11.487,6.116,27.309,44.913,0.000
9.962,6.065,26.552,42.579,0.000
12.898,5.987,26.821,45.706,0.000
8.828,5.701,26.602,41.131,0.000
12.090,5.604,27.043,44.737,0.000
10.253,6.138,29.094,45.485,0.000
9.436,7.445,26.813,43.694,0.000
12.511,5.035,26.838,44.384,0.000
9.672,5.676,26.632,41.980,0.000
8.667,5.492,36.359,50.518,0.000
9.629,6.164,27.896,43.689,0.000
9.638,5.464,26.847,41.950,0.000
10.968,4.823,26.879,42.670,0.000
11.918,5.147,26.602,43.666,0.000
9.121,5.919,26.684,41.724,0.000
12.131,5.072,27.253,44.455,0.000
10.374,5.993,26.361,42.728,0.000
9.427,8.497,26.582,44.505,0.000
10.141,6.058,26.597,42.796,0.000
9.402,4.624,26.423,40.448,0.000
10.542,5.882,26.605,43.029,0.000
6.858,5.671,26.168,38.697,0.000
13.712,4.802,26.299,44.813,0.000
13.373,6.487,28.428,48.288,0.000
14.475,5.079,27.914,47.469,0.000
9.838,7.449,26.104,43.392,0.000
4.422,3.039,13.406,20.866,0.000
4.228,2.783,13.569,20.580,0.000
5.312,3.014,13.156,21.483,0.000
4.462,3.497,13.609,21.569,0.000
9.046,4.750,27.797,41.594,0.000
11.552,4.777,26.634,42.964,0.000
15.691,4.874,28.750,49.315,0.000
15.568,5.007,26.605,47.179,0.000
8.779,5.776,26.043,40.598,0.000
13.289,5.487,29.104,47.881,0.000
12.929,5.095,26.435,44.459,0.000
11.100,6.012,26.534,43.646,0.000
10.047,7.130,26.485,43.662,0.000
8.662,5.661,26.223,40.545,0.000
10.341,5.352,26.770,42.462,0.000
10.459,5.789,29.773,46.021,0.000
8.746,5.872,26.168,40.787,0.000
13.742,7.205,26.907,47.855,0.000
8.295,5.652,26.468,40.415,0.000
12.561,5.072,26.806,44.439,0.000
9.836,5.617,26.427,41.881,0.000
9.612,6.022,27.217,42.851,0.000
9.684,5.008,26.715,41.407,0.000
11.161,9.676,27.012,47.849,0.000
9.752,6.120,26.812,42.684,0.000
8.854,5.668,26.294,40.816,0.000
10.988,5.035,26.275,42.299,0.000
14.702,6.672,31.007,52.381,0.000
12.151,5.736,28.443,46.329,0.000
12.930,5.790,28.163,46.883,0.000
10.435,6.307,27.076,43.818,0.000
9.569,5.748,26.695,42.011,0.000
10.327,5.006,26.573,41.906,0.000
11.686,5.178,26.671,43.535,0.000
10.664,5.887,26.984,43.535,0.000
9.137,5.494,26.770,41.401,0.000
10.415,5.590,26.904,42.909,0.000
